Organism/Name,origin,order,family,subfamily,genus
Arthrobacter phage Pumancara,RefSeq-94,Caudovirales,Siphoviridae,,Korravirus
Arthrobacter phage Shade,RefSeq-94,Caudovirales,Myoviridae,,Marthavirus
Arthrobacter phage Sonny,RefSeq-94,Caudovirales,Myoviridae,,Marthavirus
Arthrobacter phage Tank,RefSeq-94,Caudovirales,Siphoviridae,,Tankvirus
Arthrobacter phage Wayne,RefSeq-94,Caudovirales,Siphoviridae,,Korravirus
Arthrobacter phage vB_ArS-ArV2,RefSeq-94,Caudovirales,Siphoviridae,,
Arthrobacter phage vB_ArtM-ArV1,RefSeq-94,Caudovirales,Myoviridae,,Arv1virus
Aurantimonas phage AmM-1,RefSeq-94,Caudovirales,Podoviridae,,
Azospirillum phage Cd,RefSeq-94,Caudovirales,Siphoviridae,,
Bacillus phage 0305phi8-36,RefSeq-94,Caudovirales,Myoviridae,,
Bacillus phage AR9,RefSeq-94,Caudovirales,Myoviridae,,
Bacillus phage Aurora,RefSeq-94,Caudovirales,Podoviridae,Picovirinae,Salasvirus
Bacillus phage AvesoBmore,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,B4virus
Bacillus phage B4,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,B4virus
Bacillus phage BCD7,RefSeq-94,Caudovirales,Myoviridae,,
Bacillus phage BCJA1c,RefSeq-94,Caudovirales,Siphoviridae,,
Bacillus phage BCP78,RefSeq-94,Caudovirales,Myoviridae,Spounavirinae,Tsarbombavirus
Bacillus phage BCP8-2,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,Bc431virus
Bacillus phage BPS10C,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,Wphvirus
Bacillus phage BPS13,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,Wphvirus
Bacillus phage BalMu-1,RefSeq-94,,,,
Bacillus phage Bam35c,RefSeq-94,,Tectiviridae,,Betatectivirus
Bacillus phage Bastille,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,Bastillevirus
Bacillus phage Bcp1,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,Bc431virus
Bacillus phage Belinda,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,Wphvirus
Bacillus phage BigBertha,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,B4virus
Bacillus phage Bobb,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,Agatevirus
Bacillus phage Bp8p-C,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,Agatevirus
Bacillus phage BtCS33,RefSeq-94,Caudovirales,Siphoviridae,,
Bacillus phage CAM003,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,Bastillevirus
Bacillus phage CP-51,RefSeq-94,Caudovirales,Myoviridae,Spounavirinae,Cp51virus
Bacillus phage CampHawk,RefSeq-94,Caudovirales,Myoviridae,Spounavirinae,Spo1virus
Bacillus phage Claudi,RefSeq-94,Caudovirales,Podoviridae,Picovirinae,Salasvirus
Bacillus phage DIGNKC,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,Wphvirus
Bacillus phage Deep Blue,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,Bc431virus
Bacillus phage DirtyBetty,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,Wphvirus
Bacillus phage Eldridge,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,
Bacillus phage Evoli,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,Bastillevirus
Bacillus phage Eyuki,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,Wphvirus
Bacillus phage Fah,RefSeq-94,Caudovirales,Siphoviridae,,Wbetavirus
Bacillus phage GIL16c,RefSeq-94,,Tectiviridae,,Betatectivirus
Bacillus phage Gamma,RefSeq-94,Caudovirales,Siphoviridae,,Wbetavirus
Bacillus phage Grass,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,Nit1virus
Bacillus phage Hakuna,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,Wphvirus
Bacillus phage Hoody T,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,Bastillevirus
Bacillus phage JBP901,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,Bc431virus
Bacillus phage JL,RefSeq-94,Caudovirales,Myoviridae,Spounavirinae,Cp51virus
Bacillus phage Kida,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,Wphvirus
Bacillus phage MG-B1,RefSeq-94,Caudovirales,Podoviridae,Picovirinae,Salasvirus
Bacillus phage Mater,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,
Bacillus phage Megatron,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,Wphvirus
Bacillus phage Mgbh1,RefSeq-94,Caudovirales,Siphoviridae,,Magadivirus
Bacillus phage Moonbeam,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,
Bacillus phage Nemo,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,Wphvirus
Bacillus phage Nigalana,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,Wphvirus
Bacillus phage NotTheCreek,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,Wphvirus
Bacillus phage PBC1,RefSeq-94,Caudovirales,Siphoviridae,,
Bacillus phage PM1,RefSeq-94,Caudovirales,Siphoviridae,,
Bacillus phage Page,RefSeq-94,Caudovirales,Podoviridae,,Pagevirus
Bacillus phage Palmer,RefSeq-94,Caudovirales,Podoviridae,,Pagevirus
Bacillus phage Pascal,RefSeq-94,Caudovirales,Podoviridae,,Pagevirus
Bacillus phage Pavlov,RefSeq-94,Caudovirales,Podoviridae,,Pagevirus
Bacillus phage PfEFR-5,RefSeq-94,Caudovirales,Siphoviridae,,
Bacillus phage Phrodo,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,Bequatrovirus
Bacillus phage Pony,RefSeq-94,Caudovirales,Podoviridae,,Pagevirus
Bacillus phage Pookie,RefSeq-94,Caudovirales,Podoviridae,,Pagevirus
Bacillus phage Riley,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,B4virus
Bacillus phage SIOphi,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,
Bacillus phage SP-10,RefSeq-94,Caudovirales,Herelleviridae,Spounavirinae,
Bacillus phage SP-15,RefSeq-94,Caudovirales,Myoviridae,,Thornevirus
Bacillus phage SPG24,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,Nit1virus
Bacillus phage SPP1,RefSeq-94,Caudovirales,Siphoviridae,,
Bacillus phage SageFayge,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,Wphvirus
Bacillus phage SalinJah,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,Wphvirus
Bacillus phage Shanette,RefSeq-94,Caudovirales,Myoviridae,Spounavirinae,Cp51virus
Bacillus phage Shbh1,RefSeq-94,Caudovirales,Myoviridae,,Shalavirus
Bacillus phage Slash,RefSeq-94,Caudovirales,Siphoviridae,,Slashvirus
Bacillus phage Spock,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,B4virus
Bacillus phage Stahl,RefSeq-94,Caudovirales,Siphoviridae,,Slashvirus
Bacillus phage Staley,RefSeq-94,Caudovirales,Siphoviridae,,Slashvirus
Bacillus phage Stills,RefSeq-94,Caudovirales,Siphoviridae,,Slashvirus
Bacillus phage Stitch,RefSeq-94,Caudovirales,Podoviridae,Picovirinae,Salasvirus
Bacillus phage TP21-L,RefSeq-94,Caudovirales,Siphoviridae,,Tp21virus
Bacillus phage Troll,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,B4virus
Bacillus phage TsarBomba,RefSeq-94,Caudovirales,Myoviridae,Spounavirinae,Tsarbombavirus
Bacillus phage VMY22,RefSeq-94,Caudovirales,Podoviridae,Picovirinae,Salasvirus
Bacillus phage W.Ph.,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,Wphvirus
Bacillus phage Waukesha92,RefSeq-94,Caudovirales,Siphoviridae,,
Bacillus phage Wip1,RefSeq-94,,Tectiviridae,,Betatectivirus
Bacillus phage Zuko,RefSeq-94,Caudovirales,Herelleviridae,Bastillevirinae,Wphvirus
Bacillus phage phBC6A51,RefSeq-94,Caudovirales,Siphoviridae,,
Bacillus phage phBC6A52,RefSeq-94,Caudovirales,Siphoviridae,,
Bacillus phage phIS3501,RefSeq-94,Caudovirales,Siphoviridae,,
Bacillus phage phi105,RefSeq-94,Caudovirales,Siphoviridae,,
Bacillus phage phi4B1,RefSeq-94,Caudovirales,Siphoviridae,,
Bacillus phage phi4J1,RefSeq-94,Caudovirales,Siphoviridae,,
Bacillus phage phiAGATE,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,Agatevirus
Bacillus phage phiCM3,RefSeq-94,Caudovirales,Siphoviridae,,
Bacillus phage phiNIT1,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,Nit1virus
Bacillus phage vB_BanS-Tsamsa,RefSeq-94,Caudovirales,Siphoviridae,,
Bacillus phage vB_BceM_Bc431v3,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,Bc431virus
Bacillus phage vB_BhaS-171,RefSeq-94,Caudovirales,Siphoviridae,,
Bacillus phage vB_BtS_BMBtp3,RefSeq-94,Caudovirales,Siphoviridae,,
Bacillus virus 1,RefSeq-94,Caudovirales,Myoviridae,,Svunavirus
Bacillus virus 250,RefSeq-94,Caudovirales,Siphoviridae,,Cecivirus
Bacillus virus AP50,RefSeq-94,,Tectiviridae,,Betatectivirus
Bacillus virus Andromeda,RefSeq-94,Caudovirales,Siphoviridae,,Andromedavirus
Bacillus virus B103,RefSeq-94,Caudovirales,Podoviridae,Picovirinae,Phi29virus
Bacillus virus BM15,RefSeq-94,Caudovirales,Myoviridae,Bastillevirinae,Bc431virus
Bacillus virus BMBtp2,RefSeq-94,Caudovirales,Siphoviridae,,Tp21virus
Bacillus virus Blastoid,RefSeq-94,Caudovirales,Siphoviridae,,Andromedavirus
Bacillus virus Curly,RefSeq-94,Caudovirales,Siphoviridae,,Andromedavirus
Bacillus virus Eoghan,RefSeq-94,Caudovirales,Siphoviridae,,Andromedavirus
Bacillus virus Finn,RefSeq-94,Caudovirales,Siphoviridae,,Andromedavirus
Bacillus virus G,RefSeq-94,Caudovirales,Myoviridae,,
Bacillus virus GA1,RefSeq-94,Caudovirales,Podoviridae,Picovirinae,Phi29virus
Bacillus virus Glittering,RefSeq-94,Caudovirales,Siphoviridae,,Andromedavirus
Bacillus virus IEBH,RefSeq-94,Caudovirales,Siphoviridae,,Cecivirus
Bacillus virus Riggi,RefSeq-94,Caudovirales,Siphoviridae,,Andromedavirus
Bacillus virus SPO1,RefSeq-94,Caudovirales,Myoviridae,Spounavirinae,Spo1virus
Bacillus virus SPbeta,RefSeq-94,Caudovirales,Siphoviridae,,Spbetavirus
Bacillus virus Taylor,RefSeq-94,Caudovirales,Siphoviridae,,Andromedavirus
Bacillus virus Wbeta,RefSeq-94,Caudovirales,Siphoviridae,,Wbetavirus
Bacillus virus phi29,RefSeq-94,Caudovirales,Podoviridae,Picovirinae,Phi29virus
Bacteriophage APSE-2,RefSeq-94,Caudovirales,Podoviridae,,
Bacteriophage Lily,RefSeq-94,Caudovirales,Siphoviridae,,Lilyvirus
Bacteroides phage B124-14,RefSeq-94,Caudovirales,Siphoviridae,,
Bacteroides phage B40-8,RefSeq-94,Caudovirales,Siphoviridae,,
Bdellovibrio phage phi1402,RefSeq-94,Caudovirales,Myoviridae,,
Bdellovibrio phage phi1422,RefSeq-94,Caudovirales,Myoviridae,,
Bdellovibrio phage phiMH2K,RefSeq-94,,Microviridae,Gokushovirinae,Bdellomicrovirus
Bordetella virus BPP1,RefSeq-94,Caudovirales,Podoviridae,,Bpp1virus
Brevibacillus phage Abouo,RefSeq-94,Caudovirales,Myoviridae,,Abouovirus
Brevibacillus phage Davies,RefSeq-94,Caudovirales,Myoviridae,,Abouovirus
Brevibacillus phage Jenst,RefSeq-94,Caudovirales,Siphoviridae,,Jenstvirus
Brevibacillus phage Jimmer1,RefSeq-94,Caudovirales,Myoviridae,,Jimmervirus
Brevibacillus phage Jimmer2,RefSeq-94,Caudovirales,Myoviridae,,Jimmervirus
Brevibacillus phage Osiris,RefSeq-94,Caudovirales,Myoviridae,,Jimmervirus
Brevibacillus phage Sundance,RefSeq-94,Caudovirales,Siphoviridae,,
Brochothrix phage A9,RefSeq-94,Caudovirales,Herelleviridae,,
Brochothrix phage BL3,RefSeq-94,Caudovirales,Siphoviridae,,
Brochothrix phage NF5,RefSeq-94,Caudovirales,Siphoviridae,,
Brucella phage BiPBO1,RefSeq-94,Caudovirales,Siphoviridae,,
Brucella phage Pr,RefSeq-94,Caudovirales,Podoviridae,,Prtbvirus
Brucella phage Tb,RefSeq-94,Caudovirales,Podoviridae,,Prtbvirus
Burkholderia phage AH2,RefSeq-94,Caudovirales,Siphoviridae,,Ahduovirus
Burkholderia phage Bcep176,RefSeq-94,Caudovirales,Siphoviridae,,Stanholtvirus
Burkholderia phage BcepB1A,RefSeq-94,Caudovirales,Myoviridae,,
Burkholderia phage BcepGomr,RefSeq-94,Caudovirales,Siphoviridae,,
Burkholderia phage BcepNazgul,RefSeq-94,Caudovirales,Myoviridae,,Nazgulvirus
Burkholderia phage JG068,RefSeq-94,Caudovirales,Podoviridae,Autographivirinae,
Burkholderia phage KL1,RefSeq-94,Caudovirales,Siphoviridae,,Septima3virus
Burkholderia phage KL3,RefSeq-94,Caudovirales,Myoviridae,Peduovirinae,Peduovirus
Burkholderia phage KS10,RefSeq-94,Caudovirales,Myoviridae,,
Burkholderia phage KS14,RefSeq-94,Caudovirales,Myoviridae,Peduovirinae,Peduovirus
Burkholderia phage KS5,RefSeq-94,Caudovirales,Myoviridae,Peduovirinae,Peduovirus
Burkholderia phage KS9,RefSeq-94,Caudovirales,Siphoviridae,,Stanholtvirus
Burkholderia phage ST79,RefSeq-94,Caudovirales,Myoviridae,Peduovirinae,Peduovirus
Burkholderia virus Bcep1,RefSeq-94,Caudovirales,Myoviridae,,Bcep78virus
Burkholderia virus Bcep22,RefSeq-94,Caudovirales,Podoviridae,,Bcep22virus
Burkholderia virus Bcep43,RefSeq-94,Caudovirales,Myoviridae,,Bcep78virus
Burkholderia virus Bcep781,RefSeq-94,Caudovirales,Myoviridae,,Bcep78virus
Burkholderia virus BcepC6B,RefSeq-94,Caudovirales,Podoviridae,,Bpp1virus
Burkholderia virus BcepF1,RefSeq-94,Caudovirales,Myoviridae,,Pbunavirus
Burkholderia virus BcepMu,RefSeq-94,Caudovirales,Myoviridae,,Bcepmuvirus
Burkholderia virus BcepNY3,RefSeq-94,Caudovirales,Myoviridae,,Bcep78virus
Burkholderia virus Bcepil02,RefSeq-94,Caudovirales,Podoviridae,,Bcep22virus
Burkholderia virus Bcepmigl,RefSeq-94,Caudovirales,Podoviridae,,Bcep22virus
Burkholderia virus DC1,RefSeq-94,Caudovirales,Podoviridae,,Bcep22virus
Burkholderia virus phi1026b,RefSeq-94,Caudovirales,Siphoviridae,,E125virus
