Organism/Name,origin,order,family,genus
Bacillus phage Deep Blue,RefSeq-85,Caudovirales,Myoviridae,Bc431virus
Bacillus phage DirtyBetty,RefSeq-85,,,
Bacillus phage Eldridge,RefSeq-85,,,
Bacillus phage Evoli,RefSeq-85,Caudovirales,Myoviridae,Bastillevirus
Bacillus phage Eyuki,RefSeq-85,Caudovirales,Myoviridae,Wphvirus
Bacillus phage Fah,RefSeq-85,Caudovirales,Siphoviridae,
Bacillus phage GIL16c,RefSeq-85,,Tectiviridae,Betatectivirus
Bacillus phage Gamma,RefSeq-85,Caudovirales,Siphoviridae,
Bacillus phage Grass,RefSeq-85,Caudovirales,Myoviridae,Nit1virus
Bacillus phage Hakuna,RefSeq-85,Caudovirales,Myoviridae,Wphvirus
Bacillus phage Hoody T,RefSeq-85,Caudovirales,Myoviridae,Bastillevirus
Bacillus phage JBP901,RefSeq-85,Caudovirales,Myoviridae,Bc431virus
Bacillus phage JL,RefSeq-85,Caudovirales,Myoviridae,Cp51virus
Bacillus phage Kida,RefSeq-85,,,
Bacillus phage MG-B1,RefSeq-85,Caudovirales,Podoviridae,
Bacillus phage Mater,RefSeq-85,Caudovirales,Myoviridae,
Bacillus phage Megatron,RefSeq-85,Caudovirales,Myoviridae,Wphvirus
Bacillus phage Moonbeam,RefSeq-85,Caudovirales,Myoviridae,
Bacillus phage Nemo,RefSeq-85,,,
Bacillus phage Nigalana,RefSeq-85,,,
Bacillus phage NotTheCreek,RefSeq-85,,,
Bacillus phage PBC1,RefSeq-85,Caudovirales,Siphoviridae,
Bacillus phage PM1,RefSeq-85,Caudovirales,Siphoviridae,
Bacillus phage Page,RefSeq-85,Caudovirales,Podoviridae,Pagevirus
Bacillus phage Palmer,RefSeq-85,Caudovirales,Podoviridae,Pagevirus
Bacillus phage Pascal,RefSeq-85,Caudovirales,Podoviridae,Pagevirus
Bacillus phage Pavlov,RefSeq-85,Caudovirales,Podoviridae,
Bacillus phage PfEFR-5,RefSeq-85,,,
Bacillus phage Phrodo,RefSeq-85,,,
Bacillus phage Pony,RefSeq-85,Caudovirales,Podoviridae,Pagevirus
Bacillus phage Pookie,RefSeq-85,Caudovirales,Podoviridae,Pagevirus
Bacillus phage Riley,RefSeq-85,Caudovirales,Myoviridae,B4virus
Bacillus phage SP-10,RefSeq-85,Caudovirales,Myoviridae,
Bacillus phage SP-15,RefSeq-85,,,
Bacillus phage SPBc2,RefSeq-85,Caudovirales,Siphoviridae,Spbetavirus
Bacillus phage SPG24,RefSeq-85,Caudovirales,Myoviridae,Nit1virus
Bacillus phage SPP1,RefSeq-85,Caudovirales,Siphoviridae,
Bacillus phage SageFayge,RefSeq-85,,,
Bacillus phage SalinJah,RefSeq-85,,,
Bacillus phage Shanette,RefSeq-85,Caudovirales,Myoviridae,Cp51virus
Bacillus phage Shbh1,RefSeq-85,,,
Bacillus phage Slash,RefSeq-85,Caudovirales,Siphoviridae,Slashvirus
Bacillus phage Spock,RefSeq-85,Caudovirales,Myoviridae,B4virus
Bacillus phage Stahl,RefSeq-85,Caudovirales,Siphoviridae,Slashvirus
Bacillus phage Staley,RefSeq-85,Caudovirales,Siphoviridae,Slashvirus
Bacillus phage Stills,RefSeq-85,Caudovirales,Siphoviridae,Slashvirus
Bacillus phage Stitch,RefSeq-85,,,
Bacillus phage TP21-L,RefSeq-85,Caudovirales,Siphoviridae,Tp21virus
Bacillus phage Troll,RefSeq-85,Caudovirales,Myoviridae,B4virus
Bacillus phage TsarBomba,RefSeq-85,Caudovirales,Myoviridae,Tsarbombavirus
Bacillus phage VMY22,RefSeq-85,Caudovirales,Podoviridae,
Bacillus phage W.Ph.,RefSeq-85,Caudovirales,Myoviridae,Wphvirus
Bacillus phage Waukesha92,RefSeq-85,Caudovirales,Siphoviridae,
Bacillus phage Wip1,RefSeq-85,,Tectiviridae,Betatectivirus
Bacillus phage Zuko,RefSeq-85,,,
Bacillus phage phBC6A51,RefSeq-85,Caudovirales,Podoviridae,
Bacillus phage phBC6A52,RefSeq-85,Caudovirales,Podoviridae,
Bacillus phage phIS3501,RefSeq-85,Caudovirales,Siphoviridae,
Bacillus phage phi105,RefSeq-85,Caudovirales,Siphoviridae,
Bacillus phage phi4B1,RefSeq-85,Caudovirales,Siphoviridae,
Bacillus phage phi4J1,RefSeq-85,Caudovirales,Siphoviridae,
Bacillus phage phiAGATE,RefSeq-85,Caudovirales,Myoviridae,Agatevirus
Bacillus phage phiCM3,RefSeq-85,Caudovirales,Siphoviridae,
Bacillus phage phiNIT1,RefSeq-85,Caudovirales,Myoviridae,Nit1virus
Bacillus phage vB_BanS-Tsamsa,RefSeq-85,Caudovirales,Siphoviridae,
Bacillus phage vB_BceM_Bc431v3,RefSeq-85,Caudovirales,Myoviridae,Bc431virus
Bacillus phage vB_BhaS-171,RefSeq-85,,,
Bacillus phage vB_BtS_BMBtp3,RefSeq-85,Caudovirales,Siphoviridae,
Bacillus virus 1,RefSeq-85,Caudovirales,Myoviridae,Svunavirus
Bacillus virus 250,RefSeq-85,Caudovirales,Siphoviridae,Cecivirus
Bacillus virus AP50,RefSeq-85,,Tectiviridae,Betatectivirus
Bacillus virus Andromeda,RefSeq-85,Caudovirales,Siphoviridae,Andromedavirus
Bacillus virus B103,RefSeq-85,Caudovirales,Podoviridae,Phi29virus
Bacillus virus BMBtp2,RefSeq-85,Caudovirales,Siphoviridae,Tp21virus
Bacillus virus Blastoid,RefSeq-85,Caudovirales,Siphoviridae,Andromedavirus
Bacillus virus Curly,RefSeq-85,Caudovirales,Siphoviridae,Andromedavirus
Bacillus virus Eoghan,RefSeq-85,Caudovirales,Siphoviridae,Andromedavirus
Bacillus virus Finn,RefSeq-85,Caudovirales,Siphoviridae,Andromedavirus
Bacillus virus G,RefSeq-85,Caudovirales,Myoviridae,
Bacillus virus GA1,RefSeq-85,Caudovirales,Podoviridae,Phi29virus
Bacillus virus Glittering,RefSeq-85,Caudovirales,Siphoviridae,Andromedavirus
Bacillus virus IEBH,RefSeq-85,Caudovirales,Siphoviridae,Cecivirus
Bacillus virus Riggi,RefSeq-85,Caudovirales,Siphoviridae,Andromedavirus
Bacillus virus SPO1,RefSeq-85,Caudovirales,Myoviridae,Spo1virus
Bacillus virus Wbeta,RefSeq-85,Caudovirales,Siphoviridae,Wbetavirus
Bacillus virus phi29,RefSeq-85,Caudovirales,Podoviridae,Phi29virus
Bacteriophage APSE-2,RefSeq-85,Caudovirales,Podoviridae,
Bacteriophage Lily,RefSeq-85,Caudovirales,Siphoviridae,
Bacteroides phage B124-14,RefSeq-85,Caudovirales,Siphoviridae,
Bacteroides phage B40-8,RefSeq-85,Caudovirales,Siphoviridae,
Bdellovibrio phage phi1402,RefSeq-85,Caudovirales,Myoviridae,
Bdellovibrio phage phi1422,RefSeq-85,Caudovirales,Myoviridae,
Bdellovibrio phage phiMH2K,RefSeq-85,,Microviridae,Bdellomicrovirus
Bordetella virus BPP1,RefSeq-85,Caudovirales,Podoviridae,Bpp1virus
Brevibacillus phage Abouo,RefSeq-85,Caudovirales,Myoviridae,Abouovirus
Brevibacillus phage Davies,RefSeq-85,Caudovirales,Myoviridae,Abouovirus
Brevibacillus phage Jenst,RefSeq-85,Caudovirales,Siphoviridae,Jenstvirus
Brevibacillus phage Jimmer1,RefSeq-85,Caudovirales,Myoviridae,Jimmervirus
Brevibacillus phage Osiris,RefSeq-85,Caudovirales,Myoviridae,Jimmervirus
Brevibacillus phage Sundance,RefSeq-85,Caudovirales,Siphoviridae,
Brochothrix phage A9,RefSeq-85,Caudovirales,Myoviridae,
Brochothrix phage BL3,RefSeq-85,Caudovirales,Siphoviridae,
Brochothrix phage NF5,RefSeq-85,Caudovirales,Siphoviridae,
Brucella phage BiPBO1,RefSeq-85,,,
Brucella phage Pr,RefSeq-85,Caudovirales,Podoviridae,Prtbvirus
Brucella phage Tb,RefSeq-85,Caudovirales,Podoviridae,Prtbvirus
Burkholderia phage AH2,RefSeq-85,Caudovirales,Siphoviridae,
Burkholderia phage Bcep176,RefSeq-85,Caudovirales,Siphoviridae,
Burkholderia phage BcepB1A,RefSeq-85,Caudovirales,Myoviridae,
Burkholderia phage BcepGomr,RefSeq-85,Caudovirales,Siphoviridae,
Burkholderia phage BcepNazgul,RefSeq-85,Caudovirales,Siphoviridae,
Burkholderia phage JG068,RefSeq-85,Caudovirales,Podoviridae,
Burkholderia phage KL1,RefSeq-85,Caudovirales,Siphoviridae,Septima3virus
Burkholderia phage KL3,RefSeq-85,Caudovirales,Myoviridae,
Burkholderia phage KS10,RefSeq-85,Caudovirales,Myoviridae,
Burkholderia phage KS14,RefSeq-85,Caudovirales,Myoviridae,
Burkholderia phage KS5,RefSeq-85,Caudovirales,Myoviridae,
Burkholderia phage KS9,RefSeq-85,Caudovirales,Siphoviridae,
Burkholderia phage ST79,RefSeq-85,Caudovirales,Myoviridae,
Burkholderia virus Bcep1,RefSeq-85,Caudovirales,Myoviridae,Bcep78virus
Burkholderia virus Bcep22,RefSeq-85,Caudovirales,Podoviridae,Bcep22virus
Burkholderia virus Bcep43,RefSeq-85,Caudovirales,Myoviridae,Bcep78virus
Burkholderia virus Bcep781,RefSeq-85,Caudovirales,Myoviridae,Bcep78virus
Burkholderia virus BcepC6B,RefSeq-85,Caudovirales,Podoviridae,Bpp1virus
Burkholderia virus BcepF1,RefSeq-85,Caudovirales,Myoviridae,Pbunavirus
Burkholderia virus BcepMu,RefSeq-85,Caudovirales,Myoviridae,Bcepmuvirus
Burkholderia virus BcepNY3,RefSeq-85,Caudovirales,Myoviridae,Bcep78virus
Burkholderia virus Bcepil02,RefSeq-85,Caudovirales,Podoviridae,Bcep22virus
Burkholderia virus Bcepmigl,RefSeq-85,Caudovirales,Podoviridae,Bcep22virus
Burkholderia virus DC1,RefSeq-85,Caudovirales,Podoviridae,Bcep22virus
Burkholderia virus phi1026b,RefSeq-85,Caudovirales,Siphoviridae,E125virus
Burkholderia virus phi52237,RefSeq-85,Caudovirales,Myoviridae,P2virus
Burkholderia virus phi6442,RefSeq-85,Caudovirales,Siphoviridae,E125virus
Burkholderia virus phiE122,RefSeq-85,Caudovirales,Myoviridae,P2virus
Burkholderia virus phiE125,RefSeq-85,Caudovirales,Siphoviridae,E125virus
Burkholderia virus phiE202,RefSeq-85,Caudovirales,Myoviridae,P2virus
Burkholderia virus phiE255,RefSeq-85,Caudovirales,Myoviridae,Bcepmuvirus
Campylobacter phage CP30A,RefSeq-85,Caudovirales,Myoviridae,Cp8virus
Campylobacter phage PC14,RefSeq-85,,,
Campylobacter virus CP21,RefSeq-85,Caudovirales,Myoviridae,Cp220virus
Campylobacter virus CP220,RefSeq-85,Caudovirales,Myoviridae,Cp220virus
Campylobacter virus CPX,RefSeq-85,Caudovirales,Myoviridae,Cp8virus
Campylobacter virus CPt10,RefSeq-85,Caudovirales,Myoviridae,Cp220virus
Campylobacter virus NCTC12673,RefSeq-85,Caudovirales,Myoviridae,Cp8virus
Caulobacter phage CcrColossus,RefSeq-85,Caudovirales,Siphoviridae,
Caulobacter phage Cr30,RefSeq-85,Caudovirales,Myoviridae,
Caulobacter phage Percy,RefSeq-85,,,
Caulobacter phage phiCb5,RefSeq-85,,Leviviridae,
Caulobacter virus Karma,RefSeq-85,Caudovirales,Siphoviridae,Phicbkvirus
Caulobacter virus Magneto,RefSeq-85,Caudovirales,Siphoviridae,Phicbkvirus
Caulobacter virus Rogue,RefSeq-85,Caudovirales,Siphoviridae,Phicbkvirus
Caulobacter virus Swift,RefSeq-85,Caudovirales,Siphoviridae,Phicbkvirus
Caulobacter virus phiCbK,RefSeq-85,Caudovirales,Siphoviridae,Phicbkvirus
Celeribacter phage P12053L,RefSeq-85,Caudovirales,,
Cellulophaga phage phi10:1,RefSeq-85,Caudovirales,Siphoviridae,
Cellulophaga phage phi12:1,RefSeq-85,Caudovirales,Siphoviridae,Cba181virus
Cellulophaga phage phi12:2,RefSeq-85,,Microviridae,
Cellulophaga phage phi12a:1,RefSeq-85,,Microviridae,
Cellulophaga phage phi13:2,RefSeq-85,Caudovirales,Podoviridae,
Cellulophaga phage phi14:2,RefSeq-85,Caudovirales,Podoviridae,
Cellulophaga phage phi17:1,RefSeq-85,Caudovirales,Siphoviridae,Cba181virus
Cellulophaga phage phi17:2,RefSeq-85,Caudovirales,Podoviridae,Cba41virus
Cellulophaga phage phi18:1,RefSeq-85,Caudovirales,Siphoviridae,Cba181virus
Cellulophaga phage phi18:3,RefSeq-85,Caudovirales,Podoviridae,
Cellulophaga phage phi19:1,RefSeq-85,Caudovirales,Siphoviridae,
Cellulophaga phage phi19:3,RefSeq-85,Caudovirales,Podoviridae,
Cellulophaga phage phi38:1,RefSeq-85,Caudovirales,Podoviridae,
Cellulophaga phage phi39:1,RefSeq-85,Caudovirales,Siphoviridae,
Cellulophaga phage phi46:1,RefSeq-85,Caudovirales,Siphoviridae,
Cellulophaga phage phi46:3,RefSeq-85,Caudovirales,Podoviridae,
Cellulophaga phage phi48:2,RefSeq-85,,,
Cellulophaga phage phi4:1,RefSeq-85,Caudovirales,Podoviridae,Cba41virus
Cellulophaga phage phiSM,RefSeq-85,Caudovirales,Myoviridae,
Cellulophaga phage phiST,RefSeq-85,Caudovirales,Siphoviridae,Cbastvirus
Chimpanzee faeces associated microphage 1,RefSeq-85,,,
Chimpanzee faeces associated microphage 2,RefSeq-85,,,
Chimpanzee faeces associated microphage 3,RefSeq-85,,,
Chlamydia phage 2,RefSeq-85,,Microviridae,Chlamydiamicrovirus
Chlamydia phage 4,RefSeq-85,,Microviridae,
Chlamydia virus CPAR39,RefSeq-85,,Microviridae,Chlamydiamicrovirus
Chlamydia virus Chp1,RefSeq-85,,Microviridae,Chlamydiamicrovirus
Citrobacter phage CR44b,RefSeq-85,Caudovirales,Podoviridae,
Citrobacter phage CR8,RefSeq-85,Caudovirales,Podoviridae,
Citrobacter phage CVT22,RefSeq-85,Caudovirales,Podoviridae,
Citrobacter phage IME-CF2,RefSeq-85,Caudovirales,Myoviridae,
Citrobacter phage Margaery,RefSeq-85,,,
Citrobacter phage Merlin,RefSeq-85,Caudovirales,Myoviridae,Moonvirus
Citrobacter phage Michonne,RefSeq-85,,,
Citrobacter phage Miller,RefSeq-85,Caudovirales,Myoviridae,
Citrobacter phage Moogle,RefSeq-85,Caudovirales,Myoviridae,Mooglevirus
Citrobacter phage Moon,RefSeq-85,Caudovirales,Myoviridae,Moonvirus
Citrobacter phage SH1,RefSeq-85,,,
Citrobacter phage SH2,RefSeq-85,,,
Citrobacter phage SH3,RefSeq-85,,,
Citrobacter phage SH4,RefSeq-85,,,
Citrobacter phage phiCFP-1,RefSeq-85,Caudovirales,Podoviridae,
Citrobacter phage vB_CfrM_CfP1,RefSeq-85,,,
Citrobacter virus Stevie,RefSeq-85,Caudovirales,Siphoviridae,Tlsvirus
Clavibacter phage CMP1,RefSeq-85,Caudovirales,Siphoviridae,
Clavibacter phage CN1A,RefSeq-85,Caudovirales,Siphoviridae,
Clostridium phage CDMH1,RefSeq-85,Caudovirales,Myoviridae,
Clostridium phage PhiS63,RefSeq-85,Caudovirales,Siphoviridae,
Clostridium phage c-st,RefSeq-85,Caudovirales,Myoviridae,
Clostridium phage phi24R,RefSeq-85,Caudovirales,Podoviridae,
Clostridium phage phi3626,RefSeq-85,Caudovirales,Siphoviridae,
Clostridium phage phi8074-B1,RefSeq-85,Caudovirales,Siphoviridae,
Clostridium phage phiCD111,RefSeq-85,Caudovirales,Siphoviridae,
Clostridium phage phiCD146,RefSeq-85,Caudovirales,Siphoviridae,
Clostridium phage phiCD211,RefSeq-85,Caudovirales,Myoviridae,
Clostridium phage phiCD38-2,RefSeq-85,Caudovirales,Siphoviridae,
Clostridium phage phiCD481-1,RefSeq-85,Caudovirales,Myoviridae,
Clostridium phage phiCD505,RefSeq-85,Caudovirales,Myoviridae,
Clostridium phage phiCD506,RefSeq-85,Caudovirales,Myoviridae,
Clostridium phage phiCD6356,RefSeq-85,Caudovirales,Siphoviridae,
Clostridium phage phiCDHM11,RefSeq-85,Caudovirales,Myoviridae,
Clostridium phage phiCDHM13,RefSeq-85,Caudovirales,Myoviridae,
Clostridium phage phiCDHM19,RefSeq-85,Caudovirales,Myoviridae,
Clostridium phage phiCP13O,RefSeq-85,Caudovirales,Siphoviridae,
Clostridium phage phiCP26F,RefSeq-85,Caudovirales,Siphoviridae,
Clostridium phage phiCP34O,RefSeq-85,Caudovirales,Siphoviridae,
Clostridium phage phiCP39-O,RefSeq-85,Caudovirales,Siphoviridae,
Clostridium phage phiCP7R,RefSeq-85,Caudovirales,Podoviridae,
Clostridium phage phiCPV4,RefSeq-85,Caudovirales,Podoviridae,
Clostridium phage phiCT19406A,RefSeq-85,,,
Clostridium phage phiCT19406B,RefSeq-85,,,
Clostridium phage phiCT19406C,RefSeq-85,,,
Clostridium phage phiCT453A,RefSeq-85,,,
Clostridium phage phiCT453B,RefSeq-85,,,
Clostridium phage phiCT9441A,RefSeq-85,,,
Clostridium phage phiCTC2A,RefSeq-85,,,
Clostridium phage phiCTC2B,RefSeq-85,,,
Clostridium phage phiCTP1,RefSeq-85,Caudovirales,Siphoviridae,
Clostridium phage phiMMP01,RefSeq-85,Caudovirales,Myoviridae,
Clostridium phage phiMMP02,RefSeq-85,Caudovirales,Myoviridae,
Clostridium phage phiMMP03,RefSeq-85,Caudovirales,Myoviridae,
Clostridium phage phiMMP04,RefSeq-85,Caudovirales,Myoviridae,
Clostridium phage phiSM101,RefSeq-85,Caudovirales,Siphoviridae,
Clostridium phage phiZP2,RefSeq-85,Caudovirales,Podoviridae,
Clostridium phage vB_CpeS-CP51,RefSeq-85,Caudovirales,Siphoviridae,
Clostridium virus phiC2,RefSeq-85,Caudovirales,Myoviridae,Cd119virus
Clostridium virus phiCD119,RefSeq-85,Caudovirales,Myoviridae,Cd119virus
Clostridium virus phiCD27,RefSeq-85,Caudovirales,Myoviridae,Cd119virus
Colwellia phage 9A,RefSeq-85,Caudovirales,Siphoviridae,
Corynebacterium phage BFK20,RefSeq-85,Caudovirales,Siphoviridae,
Corynebacterium phage P1201,RefSeq-85,Caudovirales,Siphoviridae,
Croceibacter phage P2559S,RefSeq-85,Caudovirales,Siphoviridae,
Croceibacter phage P2559Y,RefSeq-85,Caudovirales,Siphoviridae,
Cronobacter phage CR3,RefSeq-85,Caudovirales,Myoviridae,Cr3virus
Cronobacter phage CR5,RefSeq-85,Caudovirales,Myoviridae,
Cronobacter phage CR8,RefSeq-85,Caudovirales,Myoviridae,Cr3virus
Cronobacter phage CR9,RefSeq-85,Caudovirales,Myoviridae,Cr3virus
Cronobacter phage Dev-CD-23823,RefSeq-85,Caudovirales,Podoviridae,
Cronobacter phage Dev2,RefSeq-85,Caudovirales,Podoviridae,
Cronobacter phage ENT39118,RefSeq-85,Caudovirales,Siphoviridae,
