origin,Organism/Name,kingdom,phylum,class,order,family,genus
RefSeq-v211,Halorubrum pleomorphic virus 1,Trapavirae,Saleviricota,Huolimaviricetes,Haloruvirales,Pleolipoviridae,Alphapleolipovirus
RefSeq-v211,Aeropyrum pernix bacilliform virus 1,,,,,Clavaviridae,Clavavirus
RefSeq-v211,Haloarcula hispanica pleomorphic virus 1,Trapavirae,Saleviricota,Huolimaviricetes,Haloruvirales,Pleolipoviridae,Alphapleolipovirus
RefSeq-v211,Hyperthermophilic Archaeal Virus 1,,,,,,
RefSeq-v211,Hyperthermophilic Archaeal Virus 2,,,,,,
RefSeq-v211,Haloarcula hispanica icosahedral virus 2,Helvetiavirae,Dividoviricota,Laserviricetes,Halopanivirales,Sphaerolipoviridae,Alphasphaerolipovirus
RefSeq-v211,Sulfolobales Mexican rudivirus 1,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Rudivirus
RefSeq-v211,Halovirus HSTV-2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Haloferacalesvirus
RefSeq-v211,Halovirus HVTV-1,,,,,,
RefSeq-v211,Halovirus HSTV-1,,,,,,
RefSeq-v211,Halovirus HCTV-1,,,,,,
RefSeq-v211,Halovirus HCTV-2,,,,,,
RefSeq-v211,Halovirus HCTV-5,,,,,,
RefSeq-v211,Halovirus HGTV-1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,
RefSeq-v211,Halovirus HHTV-1,,,,,,
RefSeq-v211,Halovirus HHTV-2,,,,,,
RefSeq-v211,Halovirus HRTV-4,,,,,,
RefSeq-v211,Halorubrum Tailed Virus 7,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Haloferacalesvirus
RefSeq-v211,Haloarcula hispanica virus PH1,Helvetiavirae,Dividoviricota,Laserviricetes,Halopanivirales,Sphaerolipoviridae,Alphasphaerolipovirus
RefSeq-v211,Sulfolobales Mexican fusellovirus 1,,,,,Fuselloviridae,
RefSeq-v211,Halovirus VNH-1,,,,,,
RefSeq-v211,Acidianus bottle-shaped virus 2 strain ABV2,,,,,Ampullaviridae,Bottigliavirus
RefSeq-v211,Acidianus bottle-shaped virus 3 strain ABV3,,,,,Ampullaviridae,Bottigliavirus
RefSeq-v211,Acidianus rod-shaped virus 2,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Hoswirudivirus
RefSeq-v211,Sulfolobus monocaudavirus SMV4,,,,,Bicaudaviridae,
RefSeq-v211,Sulfolobales Virus YNP2,,,,,,
RefSeq-v211,Haloarcula californiae icosahedral virus 1,Helvetiavirae,Dividoviricota,Laserviricetes,Halopanivirales,Sphaerolipoviridae,Alphasphaerolipovirus
RefSeq-v211,Pyrobaculum filamentous virus 1,Zilligvirae,Taleaviricota,Tokiviricetes,Primavirales,Tristromaviridae,Alphatristromavirus
RefSeq-v211,Aeropyrum globular virus 1,,,,,,
RefSeq-v211,Sulfolobus polyhedral virus 1,,,,,Portogloboviridae,Alphaportoglobovirus
RefSeq-v211,Metallosphaera turreted icosahedral virus,,,,,,
RefSeq-v211,Sulfolobus ellipsoid virus 1,,,,,Ovaliviridae,Alphaovalivirus
RefSeq-v211,Sulfolobus filamentous virus 1,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Alphalipothrixvirus
RefSeq-v211,Sulfolobales Beppu filamentous virus 2,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Alphalipothrixvirus
RefSeq-v211,Sulfolobales Beppu filamentous virus 3,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Deltalipothrixvirus
RefSeq-v211,Halorubrum pleomorphic virus 10,Trapavirae,Saleviricota,Huolimaviricetes,Haloruvirales,Pleolipoviridae,Betapleolipovirus
RefSeq-v211,Halorubrum pleomorphic virus 11,Trapavirae,Saleviricota,Huolimaviricetes,Haloruvirales,Pleolipoviridae,Betapleolipovirus
RefSeq-v211,Halorubrum pleomorphic virus 12,Trapavirae,Saleviricota,Huolimaviricetes,Haloruvirales,Pleolipoviridae,Betapleolipovirus
RefSeq-v211,Nitrosopumilus spindle-shaped virus,,,,,Fuselloviridae,Alphafusellovirus
RefSeq-v211,Sulfolobus polyhedral virus 2,,,,,Portogloboviridae,Alphaportoglobovirus
RefSeq-v211,Sulfolobus islandicus rod-shaped virus 2,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Icerudivirus
RefSeq-v211,Sulfolobus turreted icosahedral virus 1,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Belfryvirales,Turriviridae,Alphaturrivirus
RefSeq-v211,Archaeal BJ1 virus,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Sulfolobus spindle-shaped virus 5,,,,,Fuselloviridae,Alphafusellovirus
RefSeq-v211,Stygiolobus rod-shaped virus,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Azorudivirus
RefSeq-v211,Acidianus spindle-shaped virus 1,,,,,Fuselloviridae,Betafusellovirus
RefSeq-v211,Sulfolobus turreted icosahedral virus 2,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Belfryvirales,Turriviridae,Alphaturrivirus
RefSeq-v211,Halorubrum phage CGphi46,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Aeropyrum pernix spindle-shaped virus 1,,,,,,
RefSeq-v211,Aeropyrum pernix ovoid virus 1,,,,,Guttaviridae,Betaguttavirus
RefSeq-v211,Sulfolobus islandicus rod-shaped virus 10,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus
RefSeq-v211,Sulfolobus islandicus rod-shaped virus 11,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus
RefSeq-v211,Sulfolobus islandicus rod-shaped virus 4,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus
RefSeq-v211,Sulfolobus islandicus rod-shaped virus 5,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus
RefSeq-v211,Sulfolobus islandicus rod-shaped virus 6,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus
RefSeq-v211,Sulfolobus islandicus rod-shaped virus 7,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Rudivirus
RefSeq-v211,Sulfolobus islandicus rod-shaped virus 8,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus
RefSeq-v211,Sulfolobus islandicus rod-shaped virus 9,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus
RefSeq-v211,Halorubrum phage HF2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Haloferacalesvirus
RefSeq-v211,Methanobacterium phage psiM2,Heunggongvirae,Uroviricota,Caudoviricetes,Methanobavirales,Leisingerviridae,Psimunavirus
RefSeq-v211,Natrialba phage PhiCh1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Myohalovirus
RefSeq-v211,Sulfolobus islandicus rod-shaped virus 1,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Icerudivirus
RefSeq-v211,Halobacterium phage phiH,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Myohalovirus
RefSeq-v211,Methanothermobacter phage psiM100,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Psimunavirus
RefSeq-v211,Haloferax virus HF1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Haloferacalesvirus
RefSeq-v211,Sulfolobus spindle-shaped virus 1,,,,,Fuselloviridae,Alphafusellovirus
RefSeq-v211,Sulfolobus spindle-shaped virus 2,,,,,Fuselloviridae,Alphafusellovirus
RefSeq-v211,Sulfolobus virus Kamchatka 1,,,,,Fuselloviridae,Alphafusellovirus
RefSeq-v211,Sulfolobus virus Ragged Hills,,,,,Fuselloviridae,Alphafusellovirus
RefSeq-v211,Sulfolobus virus STSV1,,,,,Bicaudaviridae,
RefSeq-v211,Acidianus rod-shaped virus 1,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Itarudivirus
RefSeq-v211,Acidianus two-tailed virus,,,,,Bicaudaviridae,Bicaudavirus
RefSeq-v211,Sulfolobus spindle-shaped virus 4,,,,,Fuselloviridae,Alphafusellovirus
RefSeq-v211,Sulfolobus spindle-shaped virus 6,,,,,Fuselloviridae,Betafusellovirus
RefSeq-v211,Sulfolobus spindle-shaped virus 7,,,,,Fuselloviridae,Alphafusellovirus
RefSeq-v211,Thermococcus prieurii virus 1,,,,,,
RefSeq-v211,Sulfolobus virus STSV2,,,,,Bicaudaviridae,
RefSeq-v211,Halorubrum Tailed Virus 5,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Haloferacalesvirus
RefSeq-v211,Halorubrum Tailed Virus 8,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Haloferacalesvirus
RefSeq-v211,Sulfolobus monocaudavirus SMV1,,,,,Bicaudaviridae,
RefSeq-v211,Sulfolobus monocaudavirus SMV2,,,,,Bicaudaviridae,
RefSeq-v211,Natrinema virus SNJ1,Helvetiavirae,Dividoviricota,Laserviricetes,Halopanivirales,Sphaerolipoviridae,Betasphaerolipovirus
RefSeq-v211,Sulfolobus monocaudavirus SMV3,,,,,Bicaudaviridae,
RefSeq-v211,Sulfolobales virus YNP1,,,,,,
RefSeq-v211,Acidianus tailed spindle virus,,,,,Bicaudaviridae,
RefSeq-v211,Haloarcula hispanica pleomorphic virus 3,Trapavirae,Saleviricota,Huolimaviricetes,Haloruvirales,Pleolipoviridae,Betapleolipovirus
RefSeq-v211,Sulfolobus islandicus rudivirus 3,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Rudivirus
RefSeq-v211,Haloarcula hispanica pleomorphic virus 4,Trapavirae,Saleviricota,Huolimaviricetes,Haloruvirales,Pleolipoviridae,Betapleolipovirus
RefSeq-v211,Halorubrum pleomorphic virus 9,Trapavirae,Saleviricota,Huolimaviricetes,Haloruvirales,Pleolipoviridae,Betapleolipovirus
RefSeq-v211,Halobacterium virus ChaoS9,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Myohalovirus
RefSeq-v211,Halorubrum pleomorphic virus 2,Trapavirae,Saleviricota,Huolimaviricetes,Haloruvirales,Pleolipoviridae,Alphapleolipovirus
RefSeq-v211,Halorubrum pleomorphic virus 3,Trapavirae,Saleviricota,Huolimaviricetes,Haloruvirales,Pleolipoviridae,Betapleolipovirus
RefSeq-v211,Halorubrum pleomorphic virus 6,Trapavirae,Saleviricota,Huolimaviricetes,Haloruvirales,Pleolipoviridae,Alphapleolipovirus
RefSeq-v211,Halogeometricum pleomorphic virus 1,Trapavirae,Saleviricota,Huolimaviricetes,Haloruvirales,Pleolipoviridae,Betapleolipovirus
RefSeq-v211,Haloarcula hispanica pleomorphic virus 2,Trapavirae,Saleviricota,Huolimaviricetes,Haloruvirales,Pleolipoviridae,Alphapleolipovirus
