protein_id,contig_id,keywords
YP_001210315.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp11
YP_001210316.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp12
YP_001210360.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp56
YP_001210317.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp13
YP_001210319.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp15
YP_001210320.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp16
YP_001210321.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp17
YP_001210322.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp18
YP_001210323.1,Acidianus bottle-shaped virus,putative glycosyl transferase
YP_001210324.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp20
YP_001210325.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp21
YP_001210326.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp22
YP_001210327.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp23
YP_001210328.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp24
YP_001210329.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp25
YP_001210330.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp26
YP_001210318.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp14
YP_001210361.1,Acidianus bottle-shaped virus,hypothetical protein ABV_gp57
YP_009211272.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp02
YP_009211271.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp01
YP_009211275.1,Acidianus bottle-shaped virus 2 strain ABV2,"putative DNA polymerase, phage-associated"
YP_009211302.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp32
YP_009211303.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp33
YP_009211304.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp34
YP_009211305.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp35
YP_009211306.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp36
YP_009211307.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp37
YP_009211308.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp38
YP_009211309.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp39
YP_009211310.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp40
YP_009211311.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp41
YP_009211312.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp42
YP_009211313.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp43
YP_009211314.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp44
YP_009211315.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp45
YP_009211316.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp46
YP_009211317.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp47
YP_009211318.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp48
YP_009211319.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp49
YP_009211320.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp50
YP_009211321.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp51
YP_009211322.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp52
YP_009211323.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp53
YP_009211324.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp54
YP_009211300.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp30
YP_009211299.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp29
YP_009211301.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp31
YP_009211297.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp27
YP_009211273.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp03
YP_009211274.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp04
YP_009211276.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp06
YP_009211277.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp07
YP_009211278.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp08
YP_009211279.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp09
YP_009211280.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp10
YP_009211281.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp11
YP_009211282.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp12
YP_009211298.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp28
YP_009211284.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp14
YP_009211285.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp15
YP_009211283.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp13
YP_009211287.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp17
YP_009211296.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp26
YP_009211286.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp16
YP_009211294.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp24
YP_009211293.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp23
YP_009211295.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp25
YP_009211291.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp21
YP_009211290.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp20
YP_009211289.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp19
YP_009211288.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp18
YP_009211292.1,Acidianus bottle-shaped virus 2 strain ABV2,hypothetical protein AVU01_gp22
YP_009197884.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp05
YP_009197885.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp06
YP_009197880.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp01
YP_009197881.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp02
YP_009197882.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp03
YP_009197883.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp04
YP_009197945.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp66
YP_009197886.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp07
YP_009197943.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp64
YP_009197912.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp33
YP_009197911.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp32
YP_009197910.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp31
YP_009197909.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp30
YP_009197908.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp29
YP_009197907.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp28
YP_009197906.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp27
YP_009197905.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp26
YP_009197904.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp25
YP_009197903.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp24
YP_009197902.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp23
YP_009197901.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp22
YP_009197913.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp34
YP_009197900.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp21
YP_009197898.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp19
YP_009197897.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp18
YP_009197896.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp17
YP_009197895.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp16
YP_009197894.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp15
YP_009197893.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp14
YP_009197892.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp13
YP_009197891.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp12
YP_009197890.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp11
YP_009197888.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp09
YP_009197944.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp65
YP_009197887.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp08
YP_009197899.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp20
YP_009197914.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp35
YP_009197889.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp10
YP_009197916.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp37
YP_009197915.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp36
YP_009197942.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp63
YP_009197940.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp61
YP_009197939.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp60
YP_009197938.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp59
YP_009197937.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp58
YP_009197936.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp57
YP_009197935.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp56
YP_009197934.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp55
YP_009197933.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp54
YP_009197932.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp53
YP_009197931.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp52
YP_009197930.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp51
YP_009197941.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp62
YP_009197928.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp49
YP_009197927.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp48
YP_009197926.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp47
YP_009197925.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp46
YP_009197924.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp45
YP_009197923.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp44
YP_009197922.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp43
YP_009197921.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp42
YP_009197920.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp41
YP_009197917.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp38
YP_009197929.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp50
YP_009197919.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp40
YP_009197918.1,Acidianus bottle-shaped virus 3 strain ABV3,hypothetical protein AVU00_gp39
YP_003741.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF74
YP_003742.1,Acidianus filamentous virus 1,CRISPR-associated Cas4-like protein
YP_003743.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF65
YP_003747.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF221
YP_003745.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF110
YP_003746.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF195
YP_003748.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF137
YP_003740.1,Acidianus filamentous virus 1,putative ATP-dependent protease
YP_003744.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF94
YP_003739.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF135
YP_003728.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF99
YP_003737.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF144
YP_003736.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF166
YP_003735.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF48
YP_003734.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF77
YP_003733.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF59b
YP_003732.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF95
YP_003731.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF59a
YP_003730.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF157
YP_003729.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF72
YP_003749.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF132
YP_003727.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF90
YP_003726.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF150
YP_003738.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF115
YP_003750.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF140
YP_003761.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF224
YP_003752.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF146
YP_003751.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF313
YP_003765.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF75
YP_003764.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF108
YP_003762.1,Acidianus filamentous virus 1,DNA binding protein
YP_003760.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF300
YP_003759.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF80
YP_003763.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF63
YP_003757.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF274
YP_003756.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF307
YP_003755.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF55
YP_003754.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF807
YP_003753.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF102
YP_003758.1,Acidianus filamentous virus 1,hypothetical protein AFV1_ORF52
YP_001496950.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp25
YP_001496961.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp36
YP_001496960.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp35
YP_001496948.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp23
YP_001496949.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp24
YP_001496962.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp37
YP_001496951.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp26
YP_001496958.1,Acidianus filamentous virus 2,putative glycosyl transferase
YP_001496953.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp28
YP_001496954.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp29
YP_001496955.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp30
YP_001496956.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp31
YP_001496957.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp32
YP_001496959.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp34
YP_001496952.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp27
YP_001496963.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp38
YP_001496932.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp07
YP_001496965.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp40
YP_001496939.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp14
YP_001496938.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp13
YP_001496937.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp12
YP_001496936.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp11
YP_001496935.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp10
YP_001496934.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp09
YP_001496940.1,Acidianus filamentous virus 2,putative ATP-dependent protease
YP_001496933.1,Acidianus filamentous virus 2,putative regulatory protein
YP_001496930.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp05
YP_001496964.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp39
YP_001496928.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp03
YP_001496927.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp02
YP_001496926.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp01
YP_001496947.1,Acidianus filamentous virus 2,putative glycosyl transferase
YP_001496931.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp06
YP_001496941.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp16
YP_001496929.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp04
YP_001496943.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp18
YP_001496966.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp41
YP_001496942.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp17
YP_001496967.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp42
YP_001496968.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp43
YP_001496969.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp44
YP_001496970.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp45
YP_001496971.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp46
YP_001496946.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp21
YP_001496973.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp48
YP_001496974.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp49
YP_001496975.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp50
YP_001496976.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp51
YP_001496977.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp52
YP_001496972.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp47
YP_001496944.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp19
YP_001496945.1,Acidianus filamentous virus 2,hypothetical protein AFV2_gp20
YP_001604402.1,Acidianus filamentous virus 3,putative SAM-dependent methyltransferase
YP_001604403.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp61
YP_001604404.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp62
YP_001604406.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp64
YP_001604401.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp59
YP_001604407.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp65
YP_001604408.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp66
YP_001604405.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp63
YP_001604400.1,Acidianus filamentous virus 3,putative protein phosphatase
YP_001604396.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp54
YP_001604398.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp56
YP_001604397.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp55
YP_001604395.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp53
YP_001604394.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp52
YP_001604393.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp51
YP_001604391.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp49
YP_001604390.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp48
YP_001604389.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp47
YP_001604388.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp46
YP_001604387.1,Acidianus filamentous virus 3,putative glycosyltransferase
YP_001604399.1,Acidianus filamentous virus 3,putative glycosyltransferases
YP_001604392.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp50
YP_001604365.1,Acidianus filamentous virus 3,putative helicase
YP_001604385.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp43
YP_001604361.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp19
YP_001604360.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp18
YP_001604359.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp17
YP_001604358.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp16
YP_001604357.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp15
YP_001604356.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp14
YP_001604355.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp13
YP_001604354.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp12
YP_001604362.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp20
YP_001604353.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp11
YP_001604351.1,Acidianus filamentous virus 3,putative helicase
YP_001604350.1,Acidianus filamentous virus 3,putative nuclease
YP_001604349.1,Acidianus filamentous virus 3,"hypothetical protein AFV3_gp07, partial"
YP_001604348.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp06
YP_001604347.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp05
YP_001604346.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp04
YP_001604345.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp03
YP_001604409.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp67
YP_001604352.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp10
YP_001604386.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp44
YP_001604363.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp21
YP_001604366.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp24
YP_001604384.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp42
YP_001604383.1,Acidianus filamentous virus 3,putative glycosyltransferase
YP_001604382.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp40
YP_001604381.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp39
YP_001604380.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp38
YP_001604379.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp37
YP_001604378.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp36
YP_001604377.1,Acidianus filamentous virus 3,structural protein
YP_001604364.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp22
YP_001604376.1,Acidianus filamentous virus 3,structural protein
YP_001604374.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp32
YP_001604373.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp31
YP_001604372.1,Acidianus filamentous virus 3,hypothetical protein AFV3_gp30
YP_001604371.1,Acidianus filamentous virus 3,putative regulatory protein
YP_001604370.1,Acidianus filamentous virus 3,putative regulatory protein
