Organism/Name,origin,order,family,subfamily,genus
Acidianus spindle-shaped virus 1,RefSeq-88,,Fuselloviridae,,Betafusellovirus
Acidianus tailed spindle virus,RefSeq-88,,Bicaudaviridae,,
Acidianus two-tailed virus,RefSeq-88,,Bicaudaviridae,,Bicaudavirus
Acinetobacter phage AB3,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage AP205,RefSeq-88,,Leviviridae,,
Acinetobacter phage AP22,RefSeq-88,Caudovirales,Myoviridae,,Ap22virus
Acinetobacter phage Abp1,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage Ac42,RefSeq-88,Caudovirales,Myoviridae,Tevenvirinae,
Acinetobacter phage Acj61,RefSeq-88,Caudovirales,Myoviridae,Tevenvirinae,
Acinetobacter phage Acj9,RefSeq-88,Caudovirales,Myoviridae,Tevenvirinae,
Acinetobacter phage Bphi-B1251,RefSeq-88,Caudovirales,Siphoviridae,,
Acinetobacter phage Fri1,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage IME200,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage IME_AB3,RefSeq-88,Caudovirales,Siphoviridae,,
Acinetobacter phage LZ35,RefSeq-88,Caudovirales,Myoviridae,,Ap22virus
Acinetobacter phage Petty,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage Presley,RefSeq-88,Caudovirales,Podoviridae,,
Acinetobacter phage YMC-13-01-C62,RefSeq-88,Caudovirales,Myoviridae,,Ap22virus
Acinetobacter phage YMC11/12/R2315,RefSeq-88,Caudovirales,Myoviridae,,Ap22virus
Acinetobacter phage YMC13/03/R2096,RefSeq-88,Caudovirales,Myoviridae,,
Acinetobacter phage ZZ1,RefSeq-88,Caudovirales,Myoviridae,Tevenvirinae,
Acinetobacter phage phiAB1,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage phiAB6,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage phiAC-1,RefSeq-88,Caudovirales,Myoviridae,,Ap22virus
Acinetobacter phage vB_AbaM_Acibel004,RefSeq-88,Caudovirales,Myoviridae,,
Acinetobacter phage vB_AbaM_phiAbaA1,RefSeq-88,Caudovirales,Myoviridae,,
Acinetobacter phage vB_AbaP_Acibel007,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage vB_AbaP_PD-6A3,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage vB_AbaP_PD-AB9,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage vB_AbaS_TRS1,RefSeq-88,Caudovirales,Siphoviridae,,
Acinetobacter virus 133,RefSeq-88,Caudovirales,Myoviridae,Tevenvirinae,
Actinomyces virus Av1,RefSeq-88,Caudovirales,Podoviridae,Picovirinae,
Actinoplanes phage phiAsp2,RefSeq-88,Caudovirales,Siphoviridae,,
Aeromonas phage Aes012,RefSeq-88,Caudovirales,Myoviridae,,Secunda5virus
Aeromonas phage Aes508,RefSeq-88,Caudovirales,Myoviridae,,Secunda5virus
Aeromonas phage CC2,RefSeq-88,Caudovirales,Myoviridae,Tevenvirinae,
Aeromonas phage PX29,RefSeq-88,Caudovirales,Myoviridae,Tevenvirinae,
Aeromonas phage pAh6-C,RefSeq-88,Caudovirales,Myoviridae,,
Aeromonas phage phiAS4,RefSeq-88,Caudovirales,Myoviridae,,Secunda5virus
Aeromonas phage phiAS5,RefSeq-88,Caudovirales,Myoviridae,Tevenvirinae,
Aeromonas phage phiAS7,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,
Aeromonas phage vB_AsaM-56,RefSeq-88,Caudovirales,Myoviridae,,
Aeromonas virus 25,RefSeq-88,Caudovirales,Myoviridae,,Secunda5virus
Aeromonas virus 31,RefSeq-88,Caudovirales,Myoviridae,,Secunda5virus
Aeromonas virus 44RR2,RefSeq-88,Caudovirales,Myoviridae,,Biquartavirus
Aeromonas virus 65,RefSeq-88,Caudovirales,Myoviridae,Tevenvirinae,
Aeromonas virus Aeh1,RefSeq-88,Caudovirales,Myoviridae,Tevenvirinae,
Aeromonas virus phiO18P,RefSeq-88,Caudovirales,Myoviridae,Peduovirinae,Hp1virus
Aeropyrum globular virus 1,RefSeq-88,,,,
Aeropyrum pernix ovoid virus 1,RefSeq-88,,Guttaviridae,,Betaguttavirus
Aeropyrum pernix spindle-shaped virus 1,RefSeq-88,,,,
Aggregatibacter phage S1249,RefSeq-88,Caudovirales,Myoviridae,,
Agrobacterium phage 7-7-1,RefSeq-88,Caudovirales,Myoviridae,,
Alphaproteobacteria virus phiJl001,RefSeq-88,Caudovirales,Siphoviridae,,Yuavirus
Alteromonas phage vB_AmaP_AD45-P1,RefSeq-88,Caudovirales,Podoviridae,,
Anabaena phage A-4L,RefSeq-88,Caudovirales,Podoviridae,,
Archaeal BJ1 virus,RefSeq-88,Caudovirales,Siphoviridae,,
Arthrobacter phage BarretLemon,RefSeq-88,Caudovirales,Myoviridae,,Marthavirus
Arthrobacter phage Decurro,RefSeq-88,Caudovirales,Siphoviridae,,Decurrovirus
Arthrobacter phage KellEzio,RefSeq-88,Caudovirales,Siphoviridae,,Kelleziovirus
Arthrobacter phage Kitkat,RefSeq-88,Caudovirales,Siphoviridae,,Kelleziovirus
Arthrobacter phage Mudcat,RefSeq-88,Caudovirales,Siphoviridae,,Mudcatvirus
Arthrobacter phage vB_ArS-ArV2,RefSeq-88,Caudovirales,Siphoviridae,,
Arthrobacter phage vB_ArtM-ArV1,RefSeq-88,Caudovirales,Myoviridae,,Arv1virus
Aurantimonas phage AmM-1,RefSeq-88,Caudovirales,Podoviridae,,
Azospirillum phage Cd,RefSeq-88,Caudovirales,Siphoviridae,,
Bacillus phage 0305phi8-36,RefSeq-88,Caudovirales,Myoviridae,,
Bacillus phage AR9,RefSeq-88,Caudovirales,Myoviridae,,
Bacillus phage Aurora,RefSeq-88,Caudovirales,Podoviridae,Picovirinae,Phi29virus
Bacillus phage AvesoBmore,RefSeq-88,Caudovirales,Myoviridae,,B4virus
Bacillus phage B4,RefSeq-88,Caudovirales,Myoviridae,,B4virus
Bacillus phage BCD7,RefSeq-88,Caudovirales,Myoviridae,,
Bacillus phage BCJA1c,RefSeq-88,Caudovirales,Siphoviridae,,
Bacillus phage BCP78,RefSeq-88,Caudovirales,Myoviridae,Spounavirinae,Tsarbombavirus
Bacillus phage BCP8-2,RefSeq-88,Caudovirales,Myoviridae,,Bc431virus
Bacillus phage BM5,RefSeq-88,Caudovirales,Myoviridae,,
Bacillus phage BPS10C,RefSeq-88,Caudovirales,Myoviridae,,Wphvirus
Bacillus phage BPS13,RefSeq-88,Caudovirales,Myoviridae,,Wphvirus
Bacillus phage BalMu-1,RefSeq-88,,,,
Bacillus phage Bam35c,RefSeq-88,,Tectiviridae,,Betatectivirus
Bacillus phage Bastille,RefSeq-88,Caudovirales,Myoviridae,,Bastillevirus
Bacillus phage Bcp1,RefSeq-88,Caudovirales,Myoviridae,,Bc431virus
Bacillus phage Belinda,RefSeq-88,Caudovirales,Myoviridae,,Wphvirus
Bacillus phage BigBertha,RefSeq-88,Caudovirales,Myoviridae,,B4virus
Bacillus phage Bobb,RefSeq-88,Caudovirales,Myoviridae,,Agatevirus
Bacillus phage Bp8p-C,RefSeq-88,Caudovirales,Myoviridae,,Agatevirus
Bacillus phage BtCS33,RefSeq-88,Caudovirales,Siphoviridae,,
Bacillus phage CAM003,RefSeq-88,Caudovirales,Myoviridae,,Bastillevirus
Bacillus phage CP-51,RefSeq-88,Caudovirales,Myoviridae,,Cp51virus
Bacillus phage CampHawk,RefSeq-88,Caudovirales,Myoviridae,Spounavirinae,Spo1virus
Bacillus phage Claudi,RefSeq-88,Caudovirales,Podoviridae,Picovirinae,Phi29virus
Bacillus phage DIGNKC,RefSeq-88,Caudovirales,Myoviridae,,Wphvirus
Bacillus phage Deep Blue,RefSeq-88,Caudovirales,Myoviridae,,Bc431virus
Bacillus phage DirtyBetty,RefSeq-88,Caudovirales,Myoviridae,,Wphvirus
Bacillus phage Eldridge,RefSeq-88,Caudovirales,Myoviridae,,
Bacillus phage Evoli,RefSeq-88,Caudovirales,Myoviridae,,Bastillevirus
Bacillus phage Eyuki,RefSeq-88,Caudovirales,Myoviridae,,Wphvirus
Bacillus phage Fah,RefSeq-88,Caudovirales,Siphoviridae,,Wbetavirus
Bacillus phage GIL16c,RefSeq-88,,Tectiviridae,,Betatectivirus
Bacillus phage Gamma,RefSeq-88,Caudovirales,Siphoviridae,,Wbetavirus
Bacillus phage Grass,RefSeq-88,Caudovirales,Myoviridae,,Nit1virus
Bacillus phage Hakuna,RefSeq-88,Caudovirales,Myoviridae,,Wphvirus
Bacillus phage Hoody T,RefSeq-88,Caudovirales,Myoviridae,,Bastillevirus
Bacillus phage JBP901,RefSeq-88,Caudovirales,Myoviridae,,Bc431virus
Bacillus phage JL,RefSeq-88,Caudovirales,Myoviridae,,Cp51virus
Bacillus phage Kida,RefSeq-88,Caudovirales,Myoviridae,,Wphvirus
Bacillus phage MG-B1,RefSeq-88,Caudovirales,Podoviridae,Picovirinae,Phi29virus
Bacillus phage Mater,RefSeq-88,Caudovirales,Myoviridae,,
Bacillus phage Megatron,RefSeq-88,Caudovirales,Myoviridae,,Wphvirus
Bacillus phage Moonbeam,RefSeq-88,Caudovirales,Myoviridae,,
Bacillus phage Nemo,RefSeq-88,Caudovirales,Myoviridae,,Wphvirus
Bacillus phage Nigalana,RefSeq-88,Caudovirales,Myoviridae,,Wphvirus
Bacillus phage NotTheCreek,RefSeq-88,Caudovirales,Myoviridae,,Wphvirus
Bacillus phage PBC1,RefSeq-88,Caudovirales,Siphoviridae,,
Bacillus phage PM1,RefSeq-88,Caudovirales,Siphoviridae,,
Bacillus phage Page,RefSeq-88,Caudovirales,Podoviridae,,Pagevirus
Bacillus phage Palmer,RefSeq-88,Caudovirales,Podoviridae,,Pagevirus
Bacillus phage Pascal,RefSeq-88,Caudovirales,Podoviridae,,Pagevirus
Bacillus phage Pavlov,RefSeq-88,Caudovirales,Podoviridae,,Pagevirus
Bacillus phage PfEFR-5,RefSeq-88,Caudovirales,Siphoviridae,,
Bacillus phage Phrodo,RefSeq-88,Caudovirales,Myoviridae,,B4virus
Bacillus phage Pony,RefSeq-88,Caudovirales,Podoviridae,,Pagevirus
Bacillus phage Pookie,RefSeq-88,Caudovirales,Podoviridae,,Pagevirus
Bacillus phage Riley,RefSeq-88,Caudovirales,Myoviridae,,B4virus
Bacillus phage SP-10,RefSeq-88,Caudovirales,Myoviridae,Spounavirinae,
Bacillus phage SP-15,RefSeq-88,Caudovirales,Myoviridae,,
Bacillus phage SPBc2,RefSeq-88,Caudovirales,Siphoviridae,,Spbetavirus
Bacillus phage SPG24,RefSeq-88,Caudovirales,Myoviridae,,Nit1virus
Bacillus phage SPP1,RefSeq-88,Caudovirales,Siphoviridae,,
Bacillus phage SageFayge,RefSeq-88,Caudovirales,Myoviridae,,Wphvirus
Bacillus phage SalinJah,RefSeq-88,Caudovirales,Myoviridae,,Wphvirus
Bacillus phage Shanette,RefSeq-88,Caudovirales,Myoviridae,,Cp51virus
Bacillus phage Shbh1,RefSeq-88,Caudovirales,Myoviridae,,
Bacillus phage Slash,RefSeq-88,Caudovirales,Siphoviridae,,Slashvirus
Bacillus phage Spock,RefSeq-88,Caudovirales,Myoviridae,,B4virus
Bacillus phage Stahl,RefSeq-88,Caudovirales,Siphoviridae,,Slashvirus
Bacillus phage Staley,RefSeq-88,Caudovirales,Siphoviridae,,Slashvirus
Bacillus phage Stills,RefSeq-88,Caudovirales,Siphoviridae,,Slashvirus
Bacillus phage Stitch,RefSeq-88,Caudovirales,Podoviridae,Picovirinae,Phi29virus
Bacillus phage TP21-L,RefSeq-88,Caudovirales,Siphoviridae,,Tp21virus
Bacillus phage Troll,RefSeq-88,Caudovirales,Myoviridae,,B4virus
Bacillus phage TsarBomba,RefSeq-88,Caudovirales,Myoviridae,Spounavirinae,Tsarbombavirus
Bacillus phage VMY22,RefSeq-88,Caudovirales,Podoviridae,Picovirinae,Phi29virus
Bacillus phage W.Ph.,RefSeq-88,Caudovirales,Myoviridae,,Wphvirus
Bacillus phage Waukesha92,RefSeq-88,Caudovirales,Siphoviridae,,
Bacillus phage Wip1,RefSeq-88,,Tectiviridae,,Betatectivirus
Bacillus phage Zuko,RefSeq-88,Caudovirales,Myoviridae,,Wphvirus
Bacillus phage phBC6A51,RefSeq-88,Caudovirales,Siphoviridae,,
Bacillus phage phBC6A52,RefSeq-88,Caudovirales,Siphoviridae,,
Bacillus phage phIS3501,RefSeq-88,Caudovirales,Siphoviridae,,
Bacillus phage phi105,RefSeq-88,Caudovirales,Siphoviridae,,
Bacillus phage phi4B1,RefSeq-88,Caudovirales,Siphoviridae,,
Bacillus phage phi4J1,RefSeq-88,Caudovirales,Siphoviridae,,
Bacillus phage phiAGATE,RefSeq-88,Caudovirales,Myoviridae,,Agatevirus
Bacillus phage phiCM3,RefSeq-88,Caudovirales,Siphoviridae,,
Bacillus phage phiNIT1,RefSeq-88,Caudovirales,Myoviridae,,Nit1virus
Bacillus phage vB_BanS-Tsamsa,RefSeq-88,Caudovirales,Siphoviridae,,
Bacillus phage vB_BceM_Bc431v3,RefSeq-88,Caudovirales,Myoviridae,,Bc431virus
Bacillus phage vB_BhaS-171,RefSeq-88,Caudovirales,Siphoviridae,,
Bacillus phage vB_BtS_BMBtp3,RefSeq-88,Caudovirales,Siphoviridae,,
Bacillus virus 1,RefSeq-88,Caudovirales,Myoviridae,,Svunavirus
Bacillus virus 250,RefSeq-88,Caudovirales,Siphoviridae,,Cecivirus
Bacillus virus AP50,RefSeq-88,,Tectiviridae,,Betatectivirus
Bacillus virus Andromeda,RefSeq-88,Caudovirales,Siphoviridae,,Andromedavirus
Bacillus virus B103,RefSeq-88,Caudovirales,Podoviridae,Picovirinae,Phi29virus
Bacillus virus BMBtp2,RefSeq-88,Caudovirales,Siphoviridae,,Tp21virus
Bacillus virus Blastoid,RefSeq-88,Caudovirales,Siphoviridae,,Andromedavirus
Bacillus virus Curly,RefSeq-88,Caudovirales,Siphoviridae,,Andromedavirus
Bacillus virus Eoghan,RefSeq-88,Caudovirales,Siphoviridae,,Andromedavirus
Bacillus virus Finn,RefSeq-88,Caudovirales,Siphoviridae,,Andromedavirus
Bacillus virus G,RefSeq-88,Caudovirales,Myoviridae,,
Bacillus virus GA1,RefSeq-88,Caudovirales,Podoviridae,Picovirinae,Phi29virus
Bacillus virus Glittering,RefSeq-88,Caudovirales,Siphoviridae,,Andromedavirus
Bacillus virus IEBH,RefSeq-88,Caudovirales,Siphoviridae,,Cecivirus
Bacillus virus Riggi,RefSeq-88,Caudovirales,Siphoviridae,,Andromedavirus
Bacillus virus SPO1,RefSeq-88,Caudovirales,Myoviridae,Spounavirinae,Spo1virus
Bacillus virus Wbeta,RefSeq-88,Caudovirales,Siphoviridae,,Wbetavirus
Bacillus virus phi29,RefSeq-88,Caudovirales,Podoviridae,Picovirinae,Phi29virus
Bacteriophage APSE-2,RefSeq-88,Caudovirales,Podoviridae,,
Bacteriophage Lily,RefSeq-88,Caudovirales,Siphoviridae,,
Bacteroides phage B124-14,RefSeq-88,Caudovirales,Siphoviridae,,
Bacteroides phage B40-8,RefSeq-88,Caudovirales,Siphoviridae,,
Bdellovibrio phage phi1402,RefSeq-88,Caudovirales,Myoviridae,,
Bdellovibrio phage phi1422,RefSeq-88,Caudovirales,Myoviridae,,
Bdellovibrio phage phiMH2K,RefSeq-88,,Microviridae,Gokushovirinae,Bdellomicrovirus
Bordetella virus BPP1,RefSeq-88,Caudovirales,Podoviridae,,Bpp1virus
Brevibacillus phage Abouo,RefSeq-88,Caudovirales,Myoviridae,,Abouovirus
Brevibacillus phage Davies,RefSeq-88,Caudovirales,Myoviridae,,Abouovirus
Brevibacillus phage Jenst,RefSeq-88,Caudovirales,Siphoviridae,,Jenstvirus
Brevibacillus phage Jimmer1,RefSeq-88,Caudovirales,Myoviridae,,Jimmervirus
Brevibacillus phage Osiris,RefSeq-88,Caudovirales,Myoviridae,,Jimmervirus
Brevibacillus phage Sundance,RefSeq-88,Caudovirales,Siphoviridae,,
Brochothrix phage A9,RefSeq-88,Caudovirales,Myoviridae,Spounavirinae,
Brochothrix phage BL3,RefSeq-88,Caudovirales,Siphoviridae,,
Brochothrix phage NF5,RefSeq-88,Caudovirales,Siphoviridae,,
Brucella phage BiPBO1,RefSeq-88,Caudovirales,Siphoviridae,,
Brucella phage Pr,RefSeq-88,Caudovirales,Podoviridae,,Prtbvirus
Brucella phage Tb,RefSeq-88,Caudovirales,Podoviridae,,Prtbvirus
Burkholderia phage AH2,RefSeq-88,Caudovirales,Siphoviridae,,
Burkholderia phage Bcep176,RefSeq-88,Caudovirales,Siphoviridae,,
Burkholderia phage BcepB1A,RefSeq-88,Caudovirales,Myoviridae,,
Burkholderia phage BcepGomr,RefSeq-88,Caudovirales,Siphoviridae,,
Burkholderia phage BcepNazgul,RefSeq-88,Caudovirales,Siphoviridae,,
Burkholderia phage JG068,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,
Burkholderia phage KL1,RefSeq-88,Caudovirales,Siphoviridae,,Septima3virus
Burkholderia phage KL3,RefSeq-88,Caudovirales,Myoviridae,Peduovirinae,P2virus
Burkholderia phage KS10,RefSeq-88,Caudovirales,Myoviridae,,
Burkholderia phage KS14,RefSeq-88,Caudovirales,Myoviridae,Peduovirinae,P2virus
Burkholderia phage KS5,RefSeq-88,Caudovirales,Myoviridae,Peduovirinae,P2virus
Burkholderia phage KS9,RefSeq-88,Caudovirales,Siphoviridae,,E125virus
Burkholderia phage ST79,RefSeq-88,Caudovirales,Myoviridae,Peduovirinae,P2virus
Burkholderia virus Bcep1,RefSeq-88,Caudovirales,Myoviridae,,Bcep78virus
Burkholderia virus Bcep22,RefSeq-88,Caudovirales,Podoviridae,,Bcep22virus
Burkholderia virus Bcep43,RefSeq-88,Caudovirales,Myoviridae,,Bcep78virus
Burkholderia virus Bcep781,RefSeq-88,Caudovirales,Myoviridae,,Bcep78virus
Burkholderia virus BcepC6B,RefSeq-88,Caudovirales,Podoviridae,,Bpp1virus
Burkholderia virus BcepF1,RefSeq-88,Caudovirales,Myoviridae,,Pbunavirus
Burkholderia virus BcepMu,RefSeq-88,Caudovirales,Myoviridae,,Bcepmuvirus
Burkholderia virus BcepNY3,RefSeq-88,Caudovirales,Myoviridae,,Bcep78virus
Burkholderia virus Bcepil02,RefSeq-88,Caudovirales,Podoviridae,,Bcep22virus
Burkholderia virus Bcepmigl,RefSeq-88,Caudovirales,Podoviridae,,Bcep22virus
Burkholderia virus DC1,RefSeq-88,Caudovirales,Podoviridae,,Bcep22virus
Burkholderia virus phi1026b,RefSeq-88,Caudovirales,Siphoviridae,,E125virus
Burkholderia virus phi52237,RefSeq-88,Caudovirales,Myoviridae,Peduovirinae,P2virus
Burkholderia virus phi6442,RefSeq-88,Caudovirales,Siphoviridae,,E125virus
Burkholderia virus phiE122,RefSeq-88,Caudovirales,Myoviridae,Peduovirinae,P2virus
Burkholderia virus phiE125,RefSeq-88,Caudovirales,Siphoviridae,,E125virus
Burkholderia virus phiE202,RefSeq-88,Caudovirales,Myoviridae,Peduovirinae,P2virus
Burkholderia virus phiE255,RefSeq-88,Caudovirales,Myoviridae,,Bcepmuvirus
Campylobacter phage CP30A,RefSeq-88,Caudovirales,Myoviridae,Eucampyvirinae,Cp8virus
Campylobacter phage PC14,RefSeq-88,Caudovirales,Myoviridae,Eucampyvirinae,Cp8virus
Campylobacter virus CP21,RefSeq-88,Caudovirales,Myoviridae,Eucampyvirinae,Cp220virus
Campylobacter virus CP220,RefSeq-88,Caudovirales,Myoviridae,Eucampyvirinae,Cp220virus
Campylobacter virus CPX,RefSeq-88,Caudovirales,Myoviridae,Eucampyvirinae,Cp8virus
Campylobacter virus CPt10,RefSeq-88,Caudovirales,Myoviridae,Eucampyvirinae,Cp220virus
Campylobacter virus NCTC12673,RefSeq-88,Caudovirales,Myoviridae,Eucampyvirinae,Cp8virus
Caulobacter phage CcrColossus,RefSeq-88,Caudovirales,Siphoviridae,,
Caulobacter phage Cr30,RefSeq-88,Caudovirales,Myoviridae,,
Caulobacter phage Percy,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,
Caulobacter phage phiCb5,RefSeq-88,,Leviviridae,,
Caulobacter virus Karma,RefSeq-88,Caudovirales,Siphoviridae,,Phicbkvirus
Caulobacter virus Magneto,RefSeq-88,Caudovirales,Siphoviridae,,Phicbkvirus
Caulobacter virus Rogue,RefSeq-88,Caudovirales,Siphoviridae,,Phicbkvirus
Caulobacter virus Swift,RefSeq-88,Caudovirales,Siphoviridae,,Phicbkvirus
Caulobacter virus phiCbK,RefSeq-88,Caudovirales,Siphoviridae,,Phicbkvirus
Celeribacter phage P12053L,RefSeq-88,Caudovirales,Podoviridae,,
Cellulophaga phage phi10:1,RefSeq-88,Caudovirales,Siphoviridae,,
Cellulophaga phage phi12:1,RefSeq-88,Caudovirales,Siphoviridae,,Cba181virus
Cellulophaga phage phi12:2,RefSeq-88,,Microviridae,,
Cellulophaga phage phi12a:1,RefSeq-88,,Microviridae,,
Cellulophaga phage phi13:2,RefSeq-88,Caudovirales,Podoviridae,,
Cellulophaga phage phi14:2,RefSeq-88,,,,
Cellulophaga phage phi17:1,RefSeq-88,Caudovirales,Siphoviridae,,Cba181virus
Cellulophaga phage phi17:2,RefSeq-88,Caudovirales,Podoviridae,,Cba41virus
Cellulophaga phage phi18:1,RefSeq-88,Caudovirales,Siphoviridae,,Cba181virus
Cellulophaga phage phi18:3,RefSeq-88,Caudovirales,Podoviridae,,
Cellulophaga phage phi19:1,RefSeq-88,Caudovirales,Siphoviridae,,
Cellulophaga phage phi19:3,RefSeq-88,Caudovirales,Podoviridae,,
Cellulophaga phage phi38:1,RefSeq-88,Caudovirales,Podoviridae,,
Cellulophaga phage phi39:1,RefSeq-88,Caudovirales,Siphoviridae,,
Cellulophaga phage phi46:1,RefSeq-88,Caudovirales,Siphoviridae,,
Cellulophaga phage phi46:3,RefSeq-88,Caudovirales,Podoviridae,,
Cellulophaga phage phi48:2,RefSeq-88,,,,
Cellulophaga phage phi4:1,RefSeq-88,Caudovirales,Podoviridae,,Cba41virus
Cellulophaga phage phiSM,RefSeq-88,Caudovirales,Myoviridae,,
Cellulophaga phage phiST,RefSeq-88,Caudovirales,Siphoviridae,,Cbastvirus
Chimpanzee faeces associated microphage 1,RefSeq-88,,Microviridae,,
Chimpanzee faeces associated microphage 2,RefSeq-88,,Microviridae,,
Chimpanzee faeces associated microphage 3,RefSeq-88,,Microviridae,,
Chlamydia phage 2,RefSeq-88,,Microviridae,Gokushovirinae,Chlamydiamicrovirus
Chlamydia phage 4,RefSeq-88,,Microviridae,Gokushovirinae,Chlamydiamicrovirus
Chlamydia virus CPAR39,RefSeq-88,,Microviridae,Gokushovirinae,Chlamydiamicrovirus
Chlamydia virus Chp1,RefSeq-88,,Microviridae,Gokushovirinae,Chlamydiamicrovirus
Citrobacter phage CR44b,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,T7virus
Citrobacter phage CR8,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,T7virus
Citrobacter phage CVT22,RefSeq-88,Caudovirales,Podoviridae,,
Citrobacter phage IME-CF2,RefSeq-88,Caudovirales,Myoviridae,Tevenvirinae,Kp15virus
Citrobacter phage Margaery,RefSeq-88,Caudovirales,Myoviridae,Tevenvirinae,Kp15virus
Citrobacter phage Merlin,RefSeq-88,Caudovirales,Myoviridae,Tevenvirinae,Moonvirus
Citrobacter phage Michonne,RefSeq-88,Caudovirales,Myoviridae,Ounavirinae,Mooglevirus
Citrobacter phage Miller,RefSeq-88,Caudovirales,Myoviridae,Tevenvirinae,Kp15virus
Citrobacter phage Moogle,RefSeq-88,Caudovirales,Myoviridae,Ounavirinae,Mooglevirus
Citrobacter phage Moon,RefSeq-88,Caudovirales,Myoviridae,Tevenvirinae,Moonvirus
Citrobacter phage SH1,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,T7virus
Citrobacter phage SH2,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,T7virus
Citrobacter phage SH3,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,T7virus
Citrobacter phage SH4,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,T7virus
Citrobacter phage phiCFP-1,RefSeq-88,Caudovirales,Podoviridae,Autographivirinae,T7virus
Citrobacter phage vB_CfrM_CfP1,RefSeq-88,Caudovirales,Myoviridae,Tevenvirinae,Kp15virus
Citrobacter virus Stevie,RefSeq-88,Caudovirales,Siphoviridae,Tunavirinae,Tlsvirus
Clavibacter phage CMP1,RefSeq-88,Caudovirales,Siphoviridae,,
Clavibacter phage CN1A,RefSeq-88,Caudovirales,Siphoviridae,,
Clostridium phage CDMH1,RefSeq-88,Caudovirales,Myoviridae,,Cd119virus
Clostridium phage PhiS63,RefSeq-88,Caudovirales,Siphoviridae,,
Clostridium phage c-st,RefSeq-88,Caudovirales,Myoviridae,,
Clostridium phage phi24R,RefSeq-88,Caudovirales,Podoviridae,Picovirinae,
Clostridium phage phi3626,RefSeq-88,Caudovirales,Siphoviridae,,
Clostridium phage phi8074-B1,RefSeq-88,Caudovirales,Siphoviridae,,
Clostridium phage phiCD111,RefSeq-88,Caudovirales,Siphoviridae,,
Clostridium phage phiCD146,RefSeq-88,Caudovirales,Siphoviridae,,
